dataset,esn,unit,flight_cycle,datetime,operator,depart_icao,destination_icao,hpc_eff_mod,hpc_flow_mod,tra,t2,t24,t30,t50,p2,p15,p30,nf,nc,epr,ps30,phi,nrf,nrc,bpr,farb,htbleed,nf_dmd,pcnfr_dmd,w31,w32,rul
test_FD001,999132,32,118,1/19/2018 3:22,AXM,WMKL,WMKK,-0.0006,-0.0003,100,518.67,1561.8300000000002,1590.83,1410.1,14.62,21.61,553.62,2388.08,9071.63,1.3,47.31,522.28,2388.02,8166.34,8.4117,0.03,392,2388,100,38.81,23.4258,48.0
test_FD001,999132,32,45,1/9/2018 3:15,AXM,WBKK,WMKK,-0.0001,-0.0002,100,518.67,1561.8300000000002,1578.71,1399.46,14.62,21.61,553.92,2387.94,9069.24,1.3,47.08,522.4,2388.0,8154.32,8.3992,0.03,392,2388,100,39.18,23.4126,48.0
test_FD001,999132,32,46,1/9/2018 6:18,AXM,WMKK,WBGG,-0.0019,0.0,100,518.67,1561.73,1586.03,1391.03,14.62,21.61,554.73,2387.95,9075.74,1.3,47.32,522.12,2388.02,8148.66,8.4313,0.03,391,2388,100,39.21,23.4268,48.0
test_FD001,999132,32,110,1/17/2018 21:20,AXM,VMMC,WMKK,-0.0028,0.0004,100,518.67,1561.7900000000002,1584.69,1397.6,14.62,21.61,553.71,2388.01,9075.04,1.3,47.23,522.61,2387.94,8155.39,8.4328,0.03,393,2388,100,38.91,23.3973,48.0
test_FD001,999132,32,97,1/15/2018 23:44,AXM,WMKK,WMKP,0.0037,0.0,100,518.67,1560.97,1581.77,1400.16,14.62,21.61,554.04,2388.02,9072.21,1.3,47.42,522.53,2388.01,8151.62,8.4331,0.03,391,2388,100,38.95,23.3816,48.0
test_FD001,999132,32,28,1/6/2018 1:03,AXM,RCKH,WMKK,-0.0026,-0.0003,100,518.67,1561.88,1588.72,1401.59,14.62,21.61,555.05,2388.02,9066.63,1.3,47.09,522.27,2387.98,8153.66,8.3914,0.03,392,2388,100,39.1,23.4286,48.0
test_FD001,999132,32,140,1/22/2018 17:15,AXM,WMKK,WBGG,-0.0003,0.0,100,518.67,1561.6,1587.62,1406.81,14.62,21.61,553.86,2388.04,9089.22,1.3,47.41,521.98,2388.08,8164.75,8.4312,0.03,394,2388,100,38.96,23.3091,48.0
test_FD001,999132,32,112,1/18/2018 5:03,AXM,VMMC,WMKK,0.0048,0.0,100,518.67,1561.2900000000002,1585.71,1400.75,14.62,21.61,554.06,2388.03,9082.44,1.3,47.27,522.08,2388.01,8160.67,8.4113,0.03,394,2388,100,38.95,23.4102,48.0
test_FD001,999132,32,119,1/19/2018 5:09,AXM,WMKK,WARR,0.0,0.0005,100,518.67,1562.37,1590.15,1401.62,14.62,21.6,554.3,2388.03,9084.2,1.3,47.4,521.72,2387.98,8162.29,8.4204,0.03,392,2388,100,38.79,23.4409,48.0
test_FD001,999132,32,95,1/15/2018 20:40,AXM,WMKK,WMKP,-0.0007,-0.0004,100,518.67,1561.68,1587.44,1399.85,14.62,21.61,553.99,2387.99,9070.67,1.3,47.22,522.48,2388.03,8158.5,8.4423,0.03,394,2388,100,38.85,23.326,48.0
test_FD001,999132,32,113,1/18/2018 6:13,AXM,VMMC,WMKK,0.0024,0.0001,100,518.67,1561.5500000000002,1591.51,1400.26,14.62,21.61,554.65,2388.01,9076.5,1.3,47.34,522.35,2388.02,8157.96,8.4201,0.03,393,2388,100,39.0,23.2891,48.0
test_FD001,999132,32,90,1/15/2018 3:31,AXM,WMKK,WARR,-0.0003,0.0004,100,518.67,1561.84,1583.17,1400.0,14.62,21.61,554.57,2388.01,9071.79,1.3,47.3,522.83,2388.01,8154.71,8.3999,0.03,392,2388,100,39.01,23.3596,48.0
test_FD001,999132,32,74,1/12/2018 17:43,AXM,WMKK,WBKK,0.0019,-0.0003,100,518.67,1561.16,1582.9,1405.84,14.62,21.61,554.03,2387.95,9078.43,1.3,46.98,522.19,2388.03,8149.7,8.4128,0.03,392,2388,100,38.84,23.4524,48.0
test_FD001,999132,32,133,1/21/2018 7:18,AXM,WMKP,WMKK,0.0005,0.0001,100,518.67,1561.7900000000002,1585.76,1405.52,14.62,21.61,553.94,2387.99,9089.03,1.3,47.41,522.46,2388.08,8174.76,8.4207,0.03,393,2388,100,38.74,23.2973,48.0
test_FD001,999132,32,107,1/17/2018 6:26,AXM,WBKL,WMKK,0.0017,-0.0001,100,518.67,1562.0600000000002,1586.81,1403.07,14.62,21.61,554.5,2387.96,9079.41,1.3,47.5,522.26,2388.05,8163.22,8.3955,0.03,391,2388,100,38.89,23.3518,48.0
test_FD001,999132,32,67,1/11/2018 23:57,AXM,WMKK,WBSB,0.0006,0.0004,100,518.67,1561.93,1582.79,1393.79,14.62,21.61,555.0,2388.02,9071.55,1.3,47.11,522.59,2388.05,8153.76,8.4293,0.03,392,2388,100,39.13,23.4381,48.0
test_FD001,999132,32,100,1/16/2018 6:12,AXM,WADD,WMKK,-0.0032,-0.0004,100,518.67,1561.64,1592.42,1391.84,14.62,21.61,554.52,2388.01,9079.37,1.3,47.33,522.51,2388.02,8158.9,8.4016,0.03,392,2388,100,39.01,23.4755,48.0
test_FD001,999132,32,38,1/7/2018 22:39,AXM,WAAA,WMKK,0.002,-0.0004,100,518.67,1561.26,1586.39,1393.32,14.62,21.61,553.91,2388.06,9068.23,1.3,47.24,522.71,2387.97,8153.86,8.3832,0.03,392,2388,100,38.93,23.451,48.0
